epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1547.63,1.78761,1.18747,1.1767,0.46108,0.42251,0.3814,0.17146,1.65999,1.75373,1.1153,0.00999857,0.00333286,0.00999857,0.00333286,0.00999857,0.00333286,0.00999857,0.00333286
2,2855.44,1.79564,1.20766,1.18079,0.45572,0.43427,0.3829,0.1733,1.6508,1.77387,1.11218,0.0196026,0.0065342,0.0196026,0.0065342,0.0196026,0.0065342,0.0196026,0.0065342
3,4110.46,1.82656,1.25006,1.19384,0.45256,0.4287,0.38061,0.17184,1.64971,1.70912,1.11318,0.0288106,0.00960354,0.0288106,0.00960354,0.0288106,0.00960354,0.0288106,0.00960354
4,5348.75,1.83408,1.26331,1.20429,0.44343,0.45091,0.3964,0.18255,1.62936,1.55799,1.10936,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,6592.53,1.81507,1.23099,1.19828,0.48216,0.45677,0.41673,0.19159,1.62098,1.52687,1.10782,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,7825.05,1.80358,1.21123,1.19445,0.47252,0.46645,0.421,0.19403,1.6103,1.55891,1.10265,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,9066.99,1.78973,1.1917,1.19091,0.47758,0.47213,0.42318,0.19619,1.60881,1.54333,1.10327,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,10304,1.77944,1.18059,1.18797,0.48628,0.48278,0.43366,0.20179,1.59987,1.47135,1.10113,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,11550.8,1.77009,1.1665,1.18512,0.49711,0.47713,0.43683,0.20416,1.5991,1.46054,1.10374,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,12798.8,1.76623,1.16132,1.184,0.49071,0.48508,0.44026,0.20599,1.59747,1.44168,1.10322,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,14030,1.75825,1.15254,1.18061,0.49412,0.48986,0.44325,0.20682,1.59795,1.44565,1.10477,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,15278.2,1.75449,1.14241,1.17625,0.49858,0.49049,0.44448,0.20741,1.59818,1.45461,1.106,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
